"","variable_set","s","group","quantity","est","se","ci_ll","ci_ul","pval"
"1","2_M7ELISA","12,13,14,17",TRUE,"Predictiveness",0.626085271658928,0.0579679904991882,0.512470098024359,0.739700445293497,NA
"2","3_M7Tcells","16",TRUE,"Predictiveness",0.62799457677662,0.0547734718796934,0.520640544584203,0.735348608969036,NA
"3","4_M7ADCP","18,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.607076592231976,0.0563204403615981,0.496690557529808,0.717462626934144,NA
"4","5_M7IgG3","20,21,22,23,24,25",TRUE,"Predictiveness",0.635455113833252,0.0567038240792942,0.52431766085214,0.746592566814363,NA
"5","6_M7IgG3_gp140","46,47,48,52,53",TRUE,"Predictiveness",0.622561259216506,0.0547845782175884,0.515185459001815,0.729937059431197,NA
"6","7_M7IgG3_gp120","49,50,51,54,55",TRUE,"Predictiveness",0.612207322578735,0.0531488779076358,0.508037436061052,0.716377209096417,NA
"7","8_M7IgG3_V1V2","19,28",TRUE,"Predictiveness",0.620251329073524,0.0528951701228405,0.516578700676637,0.72392395747041,NA
"8","9_M7IgG3_gp41","5,6,7,26,27",TRUE,"Predictiveness",0.616533464513236,0.0536030270487084,0.511473462035441,0.721593466991031,NA
"9","10_M7IgG3_breadthScore","5,6,8,9",TRUE,"Predictiveness",0.611772707945767,0.0534028342358214,0.507105076171195,0.71644033972034,NA
"10","11_M7IgG3_multi","5,6,10,11,12,13,14,15,16,17,18,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.592131471736114,0.0562563788357386,0.481870995317425,0.702391948154803,NA
"11","12_M7IgGt_V1V2","5,6",TRUE,"Predictiveness",0.62000059170809,0.0534397908833169,0.515260526235436,0.724740657180743,NA
"12","13_M7ADCC","5,6,20,21,22,23,24,25",TRUE,"Predictiveness",0.631709617039858,0.0561464614957674,0.521664574648789,0.741754659430927,NA
"13","14_M7_combPrimaryMarkers","7,8,9,26,27",TRUE,"Predictiveness",0.617046411073658,0.0555353851629981,0.508199056286621,0.725893765860694,NA
"14","15_M7_combAllMarkers","7,10,11,12,13,14,15,16,17,18,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.588560885642799,0.0564200992881361,0.477979523033878,0.69914224825172,NA
"15","16_M7_overallScore","7,20,21,22,23,24,25,26,27",TRUE,"Predictiveness",0.627749391714904,0.0557070684922603,0.518565543785768,0.73693323964404,NA
"16","17_M7_2_3","8,9,10,11,12,13,14,15,16,17,18,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.587367240019801,0.0557816896057531,0.478037137395733,0.696697342643869,NA
"17","18_M7_2_4","8,9,20,21,22,23,24,25",TRUE,"Predictiveness",0.624860681179915,0.0555539929905157,0.515976855721114,0.733744506638716,NA
"18","19_M7_2_5_12","10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.610701513105133,0.0558081772284836,0.501319495694477,0.720083530515789,NA
"19","20_M7_2_13","5,6,7,8,9,26,27",TRUE,"Predictiveness",0.608507148875868,0.053380754866693,0.503882791869588,0.713131505882147,NA
"20","21_M7_3_4","5,6,7,10,11,12,13,14,15,16,17,18,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.587652894727003,0.0564200992881361,0.477071532118082,0.698234257335923,NA
"21","22_M7_3_5_12","5,6,7,20,21,22,23,24,25,26,27",TRUE,"Predictiveness",0.627749391714904,0.0557070684922603,0.518565543785768,0.73693323964404,NA
"22","23_M7_3_13","7,26,27",TRUE,"Predictiveness",0.616636610627717,0.0542407935718331,0.510326608734053,0.722946612521382,NA
"23","24_M7_4_5_12","7,8,9,10,11,12,13,14,15,16,17,18,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.581526019378007,0.0568499272955231,0.470102209355061,0.692949829400952,NA
"24","25_M7_4_13","7,8,9,20,21,22,23,24,25,26,27",TRUE,"Predictiveness",0.616650862160891,0.0551098764169904,0.508637489191136,0.724664235130645,NA
"25","26_M7_5_12_13","8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.604362115060574,0.0553116384005721,0.495953295869551,0.712770934251598,NA
"26","27_M7_2_3_4","5,6,7,8,9,10,11,12,13,14,15,16,17,18,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.578536306655514,0.0566049443290146,0.46759265442375,0.689479958887277,NA
"27","28_M7_2_3_5_12","5,6,7,8,9,20,21,22,23,24,25,26,27",TRUE,"Predictiveness",0.616650862160891,0.0551098764169904,0.508637489191136,0.724664235130645,NA
"28","29_M7_2_3_13","7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.602087580862693,0.0552546570038718,0.493790443156991,0.710384718568396,NA
"29","30_M7_3_4_5_12","5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45",TRUE,"Predictiveness",0.600950489704786,0.0552568115047386,0.49264912925498,0.709251850154592,NA
"30","31_M7_3_4_13","8,9",TRUE,"Predictiveness",0.616362550503339,0.056717489428517,0.505198313929914,0.727526787076763,NA
"31","32_M7_4_5_12_13","10,11,12,13,14,15,16,17,29,30,31,32,33,34,35,36",TRUE,"Predictiveness",0.607040268051292,0.0576856356925027,0.493978499668688,0.720102036433895,NA
"32","33_M7_2_3_4_5_12","10,11,13,17",TRUE,"Predictiveness",0.621718392912116,0.0525154880745838,0.518789927655389,0.724646858168843,NA
"33","34_M7_2_3_4_13","12,17",TRUE,"Predictiveness",0.622079834542272,0.0534060554844307,0.51740588923644,0.726753779848104,NA
"34","35_M7_3_4_5_12_13","14,29,30,31,32,33,34,35,36",TRUE,"Predictiveness",0.607168509702094,0.0600407399498516,0.48949082179525,0.724846197608938,NA
"35","36_M7_2_3_4_5_12_13","15",TRUE,"Predictiveness",0.624137772390659,0.0560790484959912,0.514224857051241,0.734050687730077,NA
"36","Day210ELCZ","51",FALSE,"Predictiveness",0.620237114622854,0.0541311114412183,0.514142085754942,0.726332143490766,NA
"37","Day210ELMo","48",FALSE,"Predictiveness",0.619931702855125,0.0534995617396574,0.515074488656719,0.72478891705353,NA
"38","Day210ELISpotPTEEnv","54",FALSE,"Predictiveness",0.61858034463806,0.0532051615806236,0.514300144148404,0.722860545127716,NA
"39","Day210ADCPgp140C97ZAfib","52",FALSE,"Predictiveness",0.625736665782741,0.0543864309632029,0.519141219847189,0.732332111718292,NA
"40","Day210ADCPgp140Mos1fib","55",FALSE,"Predictiveness",0.616610740537011,0.0551176836959883,0.508582065581603,0.724639415492419,NA
"41","Day210IgG3gp140C97ZAfibritin40delta","53",FALSE,"Predictiveness",0.630658088733544,0.0565952632807006,0.519733411007808,0.741582766459279,NA
"42","Day210IgG3gp140Mos1fibritin40delta","49",FALSE,"Predictiveness",0.61912091481182,0.0544154650688672,0.512468563074843,0.725773266548797,NA
"43","Day210IgG340mdw_gp120","46",FALSE,"Predictiveness",0.619799023583135,0.053625014900373,0.514695925707981,0.72490212145829,NA
"44","Day210IgG340mdw_gp140","50",FALSE,"Predictiveness",0.620456865478999,0.0529539350819822,0.516669059878642,0.724244671079356,NA
"45","Day210IgG340mdw_V1V2","47",FALSE,"Predictiveness",0.621119495877902,0.0599813656004205,0.503558179557548,0.738680812198256,NA
"46","Day210IgG3gp4140delta","23",FALSE,"Predictiveness",0.619972143816968,0.0536444907412319,0.514830873995161,0.725113413638774,NA
"47","Day210IgG340mdw_multi","20",FALSE,"Predictiveness",0.619280077982118,0.0542426406831214,0.512966455816853,0.725593700147383,NA
"48","Day210IgG340mdw_gp120_gp140_vm","24",FALSE,"Predictiveness",0.618578455750155,0.0558575811696964,0.509099608394027,0.728057303106282,NA
"49","Day210IgG50mdw_V1V2","21",FALSE,"Predictiveness",0.620162490679363,0.0536945217860534,0.514923161811598,0.725401819547129,NA
"50","Day210mdw_xassay","25",FALSE,"Predictiveness",0.634026041746299,0.0562160546913041,0.523844599198409,0.744207484294188,NA
"51","Day210ADCCCAP8_pk","22",FALSE,"Predictiveness",0.645351371871457,0.0578919805126468,0.531885175072975,0.75881756866994,NA
"52","Day210ADCCCH58_pk","8",FALSE,"Predictiveness",0.627710382969463,0.05501494594328,0.519883070309217,0.73553769562971,NA
"53","Day210ADCCWITO_pk","9",FALSE,"Predictiveness",0.612303345604315,0.0552628525868199,0.503990144851202,0.720616546357428,NA
"54","Day210ADCCCAP8_pAUC","5",FALSE,"Predictiveness",0.62000059170809,0.0534498941014799,0.515240724291709,0.72476045912447,NA
"55","Day210ADCCCH58_pAUC","7",FALSE,"Predictiveness",0.623000805325289,0.0538574179700742,0.517442205803623,0.728559404846955,NA
"56","Day210ADCCWITO_pAUC","6",FALSE,"Predictiveness",0.620523613990383,0.0529363235165947,0.516770326423896,0.724276901556869,NA
"57","Day210ICS4AnyEnvIFNg_OR_IL2","26",FALSE,"Predictiveness",0.619799023583135,0.053625014900373,0.514695925707981,0.72490212145829,NA
"58","Day210ICS8AnyEnvIFNg_OR_IL2","27",FALSE,"Predictiveness",0.616636610627717,0.0542407935718331,0.510326608734053,0.722946612521382,NA
"59","Day210mdw_xassay_overall","17",FALSE,"Predictiveness",0.620273461413141,0.0534203595304512,0.515571480692275,0.724975442134006,NA
"60","Day210IgG3AE.A244.V1V2.Tags_293F40delta","12",FALSE,"Predictiveness",0.622079834542272,0.0534060554844307,0.51740588923644,0.726753779848104,NA
"61","Day210IgG3C.1086C.V1.V2.Tags40delta","13",FALSE,"Predictiveness",0.620090357221265,0.0534885273436512,0.515254770041623,0.724925944400907,NA
"62","Day210IgG3gp70.001428.2.42.V1V240delta","16",FALSE,"Predictiveness",0.62799457677662,0.0547734718796934,0.520640544584203,0.735348608969036,NA
"63","Day210IgG3gp70.1012.11.TC21.3257.V1V240delta","14",FALSE,"Predictiveness",0.638996912820287,0.0577940704495285,0.52572261621924,0.752271209421333,NA
"64","Day210IgG3gp70.1394C9G1.V1V240delta","29",FALSE,"Predictiveness",0.624687346687353,0.0564625339329423,0.514022813702916,0.735351879671791,NA
"65","Day210IgG3gp70.BF1266.431a.V1V240delta","30",FALSE,"Predictiveness",0.628187564006416,0.0533785374215144,0.523567553112824,0.732807574900008,NA
"66","Day210IgG3gp70.Ce1086.B2.V1V240delta","10",FALSE,"Predictiveness",0.619799023583135,0.053625014900373,0.514695925707981,0.72490212145829,NA
"67","Day210IgG3gp70.B.CaseA.V1.V240delta","11",FALSE,"Predictiveness",0.623223624031956,0.0552611782719839,0.51491370487562,0.731533543188292,NA
"68","Day210IgGAE.A244.V1V2.Tags_293F50delta","15",FALSE,"Predictiveness",0.624137772390659,0.0560790484959912,0.514224857051241,0.734050687730077,NA
"69","Day210IgGC.1086C.V1.V2.Tags50delta","31",FALSE,"Predictiveness",0.6200586332552,0.057981563440667,0.506416857144169,0.733700409366232,NA
"70","Day210IgGgp70_001428.2.42.V1V250delta","32",FALSE,"Predictiveness",0.619309990343541,0.0548674391267516,0.511771785731164,0.726848194955918,NA
"71","Day210IgGgp70_1012.11.TC21.3257.V1V250delta","33",FALSE,"Predictiveness",0.620010283070253,0.0537990010770485,0.514566178555006,0.725454387585499,NA
"72","Day210IgGgp70_1394C9G1.V1V250delta","36",FALSE,"Predictiveness",0.619812470980928,0.0556330973994315,0.510773603729634,0.728851338232223,NA
"73","Day210IgGgp70_9004SS.A3.4.V1V250delta","34",FALSE,"Predictiveness",0.609042252115868,0.059906826477184,0.491627029792497,0.726457474439239,NA
"74","Day210IgGgp70_BF1266.431a.V1V250delta","35",FALSE,"Predictiveness",0.617106659722763,0.0536217488068919,0.512009963273202,0.722203356172325,NA
"75","Day210IgGgp70_Ce1086.B2.V1V250delta","18",FALSE,"Predictiveness",0.628471834839067,0.062474545487863,0.506023975732346,0.750919693945788,NA
"76","Day210IgGgp70.B.CaseA.V1.V250delta","37",FALSE,"Predictiveness",0.617794267324828,0.05915735782595,0.501847976565417,0.733740558084239,NA
"77","comb_PC1_prim","38",FALSE,"Predictiveness",0.623218028228379,0.0535697078422909,0.518223330195156,0.728212726261602,NA
"78","comb_PC2_prim","39",FALSE,"Predictiveness",0.613908110935674,0.0556035471800965,0.504927161050011,0.722889060821337,NA
"79","comb_maxsig.div.score_prim","40",FALSE,"Predictiveness",0.627498659880546,0.0582731591641587,0.513285366653425,0.741711953107667,NA
"80","comb_PC1_all","41",FALSE,"Predictiveness",0.617527882357354,0.0536401916398613,0.512395038619399,0.722660726095308,NA
"81","comb_PC2_all","42",FALSE,"Predictiveness",0.61994292923915,0.0579960094313444,0.50627283950667,0.733613018971631,NA
"82","comb_maxsig.div.score_all","43",FALSE,"Predictiveness",0.612739995878754,0.0555454336490992,0.50387294642086,0.721607045336647,NA
"83","comb_nlPCA1_prim","44",FALSE,"Predictiveness",0.619799023583135,0.053625014900373,0.514695925707981,0.72490212145829,NA
"84","comb_nlPCA2_prim","45",FALSE,"Predictiveness",0.627754874753015,0.0572000139205322,0.515644907553582,0.739864841952447,NA
"85","comb_nlPCA1_all","28",FALSE,"Predictiveness",0.626241729604182,0.053347289140177,0.521682964216591,0.730800494991774,NA
"86","comb_nlPCA2_all","19",FALSE,"Predictiveness",0.620251329073524,0.0528951701228405,0.516578700676637,0.72392395747041,NA
